종목코드,종목명,시장구분,현재가,등락률,거래량,시가총액
004430,송원산업,KOSPI,11770.0,-1.51,25691.0,282480000000.0
004440,삼일씨엔에스,KOSPI,4400.0,0.23,27659.0,56020566800.0
004450,삼화왕관,KOSPI,36400.0,-1.75,45706.0,78419395600.0
004490,세방전지,KOSPI,66900.0,-3.88,59972.0,936600000000.0
004540,깨끗한나라,KOSPI,2180.0,-0.46,73738.0,81184710740.0
004545,깨끗한나라우,KOSPI,11970.0,-0.17,864.0,4382935200.0
004560,현대비앤지스틸,KOSPI,12100.0,-0.17,24872.0,182453613100.0
004690,삼천리,KOSPI,134000.0,3.55,47822.0,543373350000.0
004700,조광피혁,KOSPI,59000.0,1.2,2155.0,392299142000.0
004710,한솔테크닉스,KOSPI,5010.0,-0.4,105513.0,160870488780.0
004720,팜젠사이언스,KOSPI,4275.0,0.0,141367.0,77810574600.0
004770,써니전자,KOSPI,1673.0,-0.95,264039.0,61403924932.0
004800,효성,KOSPI,62400.0,-6.59,226879.0,1044601396800.0
004830,덕성,KOSPI,5760.0,-0.86,87055.0,90316800000.0
004835,덕성우,KOSPI,7850.0,2.21,6926.0,10927200000.0
004840,DRB동일,KOSPI,4430.0,-1.34,15649.0,88289900000.0
004870,티웨이홀딩스,KOSPI,609.0,-0.98,308170.0,68916567846.0
004890,동일산업,KOSPI,43800.0,-0.23,870.0,106224417000.0
004910,조광페인트,KOSPI,5500.0,-0.18,15890.0,70400000000.0
004920,씨아이테크,KOSPI,1115.0,-1.33,96531.0,55823359195.0
004960,한신공영,KOSPI,8300.0,-0.6,38467.0,96036826600.0
004970,신라교역,KOSPI,9480.0,-0.84,11569.0,151680000000.0
004980,성신양회,KOSPI,8710.0,-1.14,111886.0,213534995830.0
004985,성신양회우,KOSPI,11630.0,-2.27,35220.0,8555551350.0
004990,롯데지주,KOSPI,29800.0,-2.13,994149.0,3126295262600.0
00499K,롯데지주우,KOSPI,40100.0,7.8,148027.0,32304680300.0
005010,휴스틸,KOSPI,4965.0,0.3,561529.0,278973792375.0
005030,부산주공,KOSPI,486.0,0.0,0.0,38288532168.0
005070,코스모신소재,KOSPI,32750.0,1.39,182117.0,1064727259000.0
005090,SGC에너지,KOSPI,24250.0,0.21,16070.0,349426325250.0
005110,한창,KOSPI,1254.0,0.0,0.0,23332434378.0
005180,빙그레,KOSPI,90500.0,1.69,46726.0,864791121500.0
005250,녹십자홀딩스,KOSPI,14700.0,0.14,101049.0,691314687000.0
005257,녹십자홀딩스2우,KOSPI,22750.0,6.81,14618.0,19246272500.0
005300,롯데칠성,KOSPI,106800.0,0.28,27345.0,990984811200.0
005305,롯데칠성우,KOSPI,66500.0,0.0,3836.0,51558115000.0
005320,온타이드,KOSPI,527.0,4.15,513849.0,35584210467.0
005360,모나미,KOSPI,2045.0,-0.73,15062.0,38644992815.0
